game_id,Clusters
29100675,2
21601028,0
20500583,0
20900806,0
28600546,2
29400723,0
21500793,0
29700577,0
28801021,2
29600156,0
22000728,1
20300162,0
29900845,0
41800222,1
29500976,0
21900208,1
29500960,2
21500098,1
29300949,2
28800757,0
28800517,0
28901042,2
20100436,2
20201118,2
29100224,2
49600023,0
29400031,2
21000659,1
29000962,2
20800135,0
20900652,0
22200090,1
21700784,1
28500037,2
20200842,1
28901101,2
20201102,2
28600544,2
28600878,2
22200918,1
29401005,0
20800586,0
28901086,2
29501163,0
21801195,1
21000794,0
20700597,0
20501226,0
28700204,2
29000159,2
21800075,1
28700184,2
22100918,1
20500943,0
29300169,2
29800116,0
21601046,1
20800186,0
20500011,0
29000849,2
20700206,0
20501076,0
20800842,0
29000741,0
28500245,2
28500611,2
29400056,2
29200693,0
28800235,2
20200300,0
28800594,2
22000637,1
22100464,1
29700732,0
49400033,0
20500871,0
29100792,2
21600883,1
21500694,0
28500054,2
20601197,0
29400868,0
29500065,0
22100466,1
21300038,0
28500309,2
21000432,0
21001054,0
29200208,2
22100829,1
29400130,2
20801132,2
29600477,2
21100009,1
48900035,2
21601020,1
29000753,2
29000381,2
29300057,0
21700553,0
21800445,1
29400718,0
20500908,0
28700093,2
20500740,0
28900834,2
28500829,2
29300445,2
29200904,2
29200318,0
20000457,2
21600506,0
28600451,2
21700552,1
20800714,0
20400126,1
21701048,1
20801173,0
40200222,0
21301163,1
20200728,0
29100517,2
28901092,2
29600861,1
20600134,0
21000950,0
20100706,1
20600955,2
21100850,0
21501127,1
21900782,1
21800241,1
29700141,0
20600008,0
29000419,2
28800941,2
28700805,2
28901089,2
28500198,2
20501099,0
21300080,2
29400991,0
28700699,2
29900647,0
21100236,0
20900733,0
20900778,1
20000342,0
29700642,2
21300043,0
20900283,0
28700244,2
21301215,1
21300608,0
20400901,0
28800484,0
22101178,1
21900027,1
21300656,0
21100363,0
29300327,0
20400250,0
21300389,1
20000396,0
21800231,1
28500825,2
28700424,2
22100960,1
22200680,1
21001040,2
21000548,0
20001013,0
29900172,0
29400395,2
29400730,0
20300443,2
29600358,2
21400760,0
21700710,0
22200242,1
29200037,2
20101016,1
21300398,1
22100964,1
20800387,0
22200078,1
21701198,1
20200475,0
20300454,0
22100747,1
20001157,0
21100475,0
20500992,0
20001145,2
21800233,1
21500859,1
20700433,1
21400577,0
