game_id,Clusters
21900303,2
28800893,1
28800204,1
20501038,0
29800221,0
28600500,1
29200056,1
21500399,2
20200489,0
20700605,0
29100847,1
21800837,2
20100341,0
49400056,0
29100445,0
29500705,1
29400428,0
29401014,2
28800475,1
21600197,2
21700306,2
22000153,2
20300747,0
21400009,0
29800549,0
20101064,1
29600981,1
21100663,0
22101004,2
20400084,0
20100531,1
20300081,0
29000978,1
28500671,1
28900205,1
28800779,1
28700861,0
29200944,1
20800580,2
21100902,0
28700199,1
29200273,1
21501067,2
21900037,2
29200309,0
21400396,2
22100717,2
49700072,0
28801011,1
29900045,0
21100459,0
29600928,0
20100718,0
20600894,0
20000265,0
29001002,1
28801001,1
21800809,2
29000724,1
20400108,0
29500492,0
22101006,2
20400117,0
20000771,2
21000029,0
21501079,1
49200067,0
21700900,2
21001110,0
21000724,0
29100215,1
20400168,1
29900024,0
21900822,2
21900200,2
20700601,0
21800167,2
29200938,0
21700576,2
20901061,0
28600713,1
28800535,1
20100332,0
29800009,0
20700161,0
20700429,0
21000997,2
29100479,1
20501131,0
21801048,2
21800523,2
21100287,0
21700582,2
21700757,0
29600233,0
21900923,2
28800578,1
28700330,0
29701040,1
20300468,0
20400952,1
29901171,1
21300688,2
20000359,1
29100063,0
21301155,2
20900876,2
22101131,2
20601118,0
21401185,0
29900359,0
29200182,1
20501000,2
29601155,0
28700087,1
22100611,2
28600043,1
28800759,1
29401041,0
20500459,0
21700977,2
20400076,1
21400169,0
20400147,0
21400710,0
21900834,2
28900428,0
28700656,1
22000816,2
21300482,0
28700256,1
29301067,1
20800182,1
29700705,0
28500075,1
29600776,0
22000088,2
21501017,0
29100166,0
20200099,0
29800570,0
29901020,0
21700500,2
42000161,2
29000200,1
22000729,2
28500243,1
28500032,1
20800233,1
20401021,0
21600393,0
40600111,0
29900639,0
21401230,2
20100451,0
29100425,0
41900142,2
29300319,1
29800123,0
20301063,0
29400924,1
21300678,1
20201143,1
29200825,1
29100065,1
21700813,2
29600441,0
29800396,2
20900268,0
29500853,0
21700451,2
21000516,0
28700567,1
21400969,0
28800904,1
29900168,0
20500889,1
28800749,1
21700917,2
20200100,0
29100381,1
28700252,1
41600162,2
28600867,1
29200688,1
28800240,0
20200680,0
29200326,0
20801156,0
21100735,0
20500898,1
21300760,0
20500179,0
21800759,2
20100403,0
20400959,0
22000896,2
22100306,2
29700106,0
29701149,1
20300270,0
40900175,0
29600771,1
28700362,0
29300451,1
20900594,0
20000647,1
29900789,1
21600668,2
28700241,1
20700210,1
20600086,0
29100828,0
22100877,2
20100205,0
29000734,1
28600340,1
20200919,0
20700164,2
20401078,0
28800424,0
28700290,1
29600700,1
20801189,0
20500536,0
40000055,0
21000654,0
20701127,0
28500645,1
40900231,0
20800600,0
29300876,0
29900744,0
29700054,0
29900324,1
22000074,2
29700541,1
21800185,2
29900868,1
29901061,0
21500125,2
22101097,2
21500129,2
29700021,0
20900091,1
21500383,2
20500220,0
28500766,1
28800800,1
20400052,1
21800107,2
29600344,0
29000559,1
41300156,0
20701087,1
21500509,0
20900320,1
20501086,2
29800323,0
29300084,0
29300499,1
20600759,0
20000754,1
29500605,0
20200784,0
20000073,0
21100166,0
21600090,0
29500263,0
28500163,1
21600335,2
21400182,0
20200408,0
20100607,0
29500122,0
21900276,2
29400128,2
20700370,0
40000008,0
42100301,2
21001117,2
22100833,2
29300529,1
29700155,1
22000825,2
29900664,1
21400659,2
29500460,1
22100600,2
21100816,0
28900311,1
29900825,0
29200448,1
20000090,0
20601014,2
20000524,0
28500396,1
20501093,0
21100010,0
29600380,0
29100324,1
21800010,1
28600334,1
28700591,1
28500157,1
29200736,1
20100163,0
20800910,1
21300317,2
29300446,1
21800300,2
22000558,2
20701080,0
21300406,2
22000622,2
20900793,2
28600625,1
21400231,0
21800765,2
21400835,2
22101055,2
20800298,0
21700933,2
22001072,2
29200609,1
20100803,0
20600756,0
21001187,0
29800398,0
29100815,1
40700114,0
28700574,1
21700713,2
20700373,2
20600445,2
21000899,0
28800022,1
21000028,0
21100682,2
21000395,0
22000208,2
20900912,2
29501024,0
29500995,0
20300835,0
20000580,0
22000152,2
29300797,0
20000386,0
21700280,2
21500586,2
49000048,0
20400309,0
20500538,0
28700352,1
21500326,2
20601100,1
21800230,2
29700158,0
29400632,1
29600921,0
20401220,0
21300033,0
41200145,2
20400041,0
28500372,1
20300981,1
21500227,0
22100482,2
22000024,2
29300199,0
21700986,2
21400459,2
20600594,0
21600066,2
21301144,0
20300015,1
28600289,1
29400891,0
21900271,0
20901148,2
20900208,1
20401098,0
28700103,1
20601099,2
29800391,0
21800899,2
20600599,0
20800087,0
20800875,0
21000362,0
40800135,0
20800329,0
49400039,0
29000557,1
29100136,1
22100932,2
42000222,2
20201004,0
41700172,2
28900472,1
20900650,0
28800912,1
20201049,1
20201097,0
28500420,1
20800834,2
20300942,2
20000433,0
20401112,0
22000171,2
21500624,2
28600248,1
28700545,0
29300020,0
20700652,0
22000603,2
28600371,1
20500815,0
21500313,0
20200461,0
21900393,0
20700924,1
28700486,1
21000422,0
22100619,2
21701002,2
20400694,0
29300691,1
21400409,0
20400453,0
29200951,1
20900276,0
29100697,1
21801086,2
21400518,2
48600038,1
41800405,2
21700442,0
21900153,2
28500934,1
28900079,1
42000206,2
40800303,0
21100536,0
41200136,0
21800194,0
49200048,1
21800490,0
29200472,1
29700615,0
22000823,2
21400901,2
22100453,2
22101132,2
29200754,1
20100773,2
21800132,2
28800793,1
28900236,1
20200999,0
21600554,2
41500212,0
20000633,0
29700635,0
20200114,0
20200092,1
21700822,2
28500624,0
20700250,0
40900146,0
20300129,0
21000382,0
20300933,0
29400544,0
28800056,1
21700592,2
28901047,1
48600007,1
21400677,0
21400633,2
20701114,1
29900105,1
20500221,0
21000719,0
48500132,1
41500406,2
20000709,0
22000390,2
21600918,2
29500126,1
20500201,0
20900785,1
29500429,1
29500592,2
21300011,0
20800061,0
21500022,1
28500040,1
20500463,1
20300667,0
21700725,2
29000919,1
21900256,2
28900035,0
20000289,0
21100345,0
20800552,2
22101040,2
48700057,1
29500528,0
21600760,2
21400583,2
20100835,0
22000839,2
28800691,1
21900448,2
21700573,2
29100623,1
20300491,0
28500378,1
20300533,0
21001018,0
28600783,1
29500757,0
28700141,1
21800387,2
29600047,1
20300659,0
20700976,0
20600833,1
29601028,2
21301029,0
20300272,0
20100548,1
28600751,1
49000008,0
22100091,2
21100049,0
28801013,1
21900368,2
22100157,2
20900290,0
20001082,0
20700906,2
21800611,2
21301217,2
21000730,0
21700726,2
29400781,2
20300140,0
21400815,2
21500750,2
20900403,0
29600789,0
22101214,2
21600955,0
29100232,1
29600462,0
21600658,2
20900830,0
20700101,0
29101083,1
48700076,0
21800676,2
21800853,2
21600473,0
21100856,1
28800248,1
29900997,2
29400517,1
28900272,1
28500779,1
21400323,0
29200470,0
48700019,1
29500541,1
20600182,0
20001172,1
21301105,0
28800137,0
28600846,1
21100649,0
21701020,2
28700568,1
21600801,0
29701012,0
41300154,1
20600399,1
29200901,0
21800815,2
22000871,2
20801059,0
21600056,2
29101085,1
21601139,2
20200344,0
20900525,0
29700298,1
29900847,0
29700427,0
22101108,2
29800537,0
21400674,2
22000699,2
20300259,0
21700308,2
21500869,1
21100639,0
20300694,0
29701029,0
29800422,0
21900903,2
28600056,1
29500158,1
29000075,1
29900315,1
21700756,2
21600014,2
21601192,0
20700567,1
20400311,0
21601226,0
28500695,1
29400213,0
21100556,0
29000336,1
20400106,1
28600276,1
21300521,1
20900291,0
28600326,1
20100299,1
21900580,2
22000426,2
28800085,1
28700875,1
29300146,1
20300862,0
22101093,2
28900212,1
22000038,2
21300386,1
20200567,0
49800072,0
29400211,0
21100372,2
29200350,1
28600078,1
40900174,1
20700523,1
21701025,1
20901025,1
28900157,1
29500703,2
49400053,2
20601084,0
29800349,1
22000716,2
20300978,0
21700594,2
20100721,0
20200962,0
21901231,2
21901252,2
29200087,1
21400102,0
21800200,2
29600245,1
29900427,1
21800420,2
29900940,0
29100011,1
29100976,1
29500146,0
22100643,2
29800082,0
20200934,0
20500271,0
20801065,2
21600048,2
20400105,0
21400302,1
21400768,0
20400903,1
40300402,0
20800794,2
28700873,1
21800612,2
20300009,1
20500907,1
29600180,0
21700146,2
29800037,1
21400863,2
29100042,0
20401212,0
20700853,2
20000101,0
20101065,0
21800252,2
21300687,0
28600193,0
29001069,1
21800921,2
29500418,0
28900191,0
28800770,1
28800566,1
21500573,1
21500694,1
20300929,0
21500258,0
29600132,0
21600301,2
22100226,2
21301012,0
21100797,1
21300255,2
29700005,1
21500495,2
21100011,0
29400709,0
20400818,0
21900847,2
22001063,2
29200498,0
29201014,0
29600575,0
28800616,1
29000906,1
29401029,0
29000605,1
21700270,2
29900761,0
29000180,1
21500142,0
21000871,2
29500312,1
29000886,1
20800685,0
20800981,0
20500443,0
21700440,2
29901084,0
20800814,0
20800788,0
21600477,2
21800191,2
29800425,0
28900891,1
29400905,2
28600239,1
20200487,0
21800179,2
20300472,0
29400868,0
29200380,1
20100956,1
20000514,0
21000197,1
29900882,0
29200279,1
29000061,1
29200102,1
29001071,1
21900428,2
20100100,0
20601207,2
29900224,0
29600427,0
49100008,0
29200774,1
29501068,2
20100755,0
21800145,2
21500068,0
29200802,1
22100358,2
20500687,0
20900340,1
22100224,2
20000098,0
49600049,0
29600027,0
20700300,2
20001099,0
22001020,2
28800112,1
20200563,1
22000131,2
20000757,0
29700530,1
21500408,2
29300489,1
49600078,0
21300930,1
22000071,0
20600504,0
22100200,2
28600490,1
20100345,0
20200295,1
40600305,0
20401199,2
29000469,1
28600748,1
21600733,2
29700483,0
21600503,2
49200020,0
29600583,1
49400027,0
29000504,1
20400932,2
28800435,1
20000041,0
28800656,1
21600956,2
28500832,0
28600569,1
29900117,0
21800819,2
20801201,0
21700324,2
29701096,0
20500163,0
29000027,0
20500962,0
20600047,0
21800659,2
40000010,0
29700717,0
20200802,0
41300313,1
20800969,1
29400450,0
21701194,2
28800540,1
21401043,2
29300569,0
20200768,0
29500151,0
20100857,0
20100908,0
40600214,0
20900352,0
28700931,1
40800234,0
29101087,1
21000930,1
29800295,0
28800866,1
20700968,0
28600175,1
29100369,1
21300269,1
29200450,0
29601032,0
28900298,1
28600423,1
20900446,0
21700200,2
28800053,1
21801183,2
21500982,2
28700855,1
21000475,0
29800116,0
20200799,0
22000210,2
41800163,2
29500067,0
28600894,1
28600188,1
41000172,0
21001122,0
21300502,1
20600790,0
20100957,0
21300739,1
20400796,1
29600043,0
28900562,1
20500049,0
20600213,0
21701070,2
29300825,1
20800942,0
21000566,0
20000516,0
21900111,2
29100834,0
21700457,0
20400549,0
20000659,0
28600178,0
22100131,2
29501087,0
20400996,1
20700277,2
21300962,0
28700117,1
21000412,0
29700356,0
21700772,2
20300583,0
28800807,1
28700822,0
28600137,1
21800288,2
21100748,0
29901167,0
20601211,0
22100881,2
29100399,1
20600380,1
21100777,0
29700590,0
21600460,2
21100463,1
41700144,2
29600561,0
29600637,0
21000835,0
20300710,1
29400880,0
20600652,2
28700831,1
29800640,0
21800014,2
29600804,2
29600529,0
20200694,0
29601034,1
20100448,0
21400636,2
20700172,2
20900823,0
